ZONE,AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,OPERATING HOURS MON - FRI,SAT,SUN,PUBLIC HOLIDAY,REMARKS
CENTRAL-SOUTH,BUKIT MERAH,SGP000257,NEW HEALTH FAMILY CLINIC PTE LTD,"BLK 108 DEPOT HEIGHTS SHOPPING CENTRE DEPOT ROAD
#01-08",100108,62786200,62767140,"MON-FRI: 8.00AM-
1.00PM  MON & WED:
6.00PM-7.30PM  TUE
& THU: 5.30PM- 7.30PM",8.00AM-11.30AM,CLOSED,CLOSED,
CENTRAL-SOUTH,BUKIT MERAH,SGP000121,FRIENDSHIP CLINIC & SURGERY,BLK 1 JALAN BUKIT MERAH #01-4524,150001,62726628,64760848,"MON-THU: 8.30AM-
1.00PM, 5.00PM-
7.00PM  FRI: 8.30AM-
1.00PM, 2.00PM-
4.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
CENTRAL-SOUTH,BUKIT MERAH,SGP000764,PROVIDENCE CLINIC @ REDHILL,BLK 86 REDHILL CLOSE #01-596,150086,64710301,64710301,"9.00AM-4.00PM, 7.00-
9.00PM (CLOSED ON WEDNESDAY & FRIDAY
EVENINGS)",9.00AM-1.00PM,5.00PM-8.00PM,CLOSED,
CENTRAL-SOUTH,BUKIT MERAH,SGP000308,SHALOM CLINIC & SURGERY,BLK 123 BUKIT MERAH LANE 1 #01-104,150123,62780270,62784215,"9.00AM-12.30PM,
2.00PM-5.30PM",9.00AM-12.30PM,CLOSED,CLOSED,
CENTRAL-SOUTH,BUKIT MERAH,SGP000027,BUKIT MERAH CENTRAL MEDICAL CENTRE,BLK 165 BUKIT MERAH CENTRAL #03-3683,150165,62735455,62748846,"8.30AM-1.00PM,
2.00PM-5.00PM",CLOSED,CLOSED,CLOSED,
CENTRAL-SOUTH,BUKIT MERAH,SGP000201,LEONG CLINIC,BLK 63B LENGKOK BAHRU #01-366,152063,64760572,64766693,"9.00AM-1.00PM,
2.00PM-5.00PM (CLOSED ON FRI AFTERNOONS)",9.00AM-1.00PM,CLOSED,CLOSED,PATIENT TO ARRIVE AT LEAST 15 MINS BEFORE CLOSING.
CENTRAL-SOUTH,BUKIT MERAH,SGP000553,DRS CHUA & PARTNERS (AV) PTE LTD,BLK 125 BUKIT MERAH LANE 1 #01-174,150125,63773179,63773169,"8.30AM-12.30PM,
2.00PM-5.00PM (MON AFTERNOON CLINIC OPENS UNTIL 8.00PM)",8.30AM-2.30PM,CLOSED,CLOSED,
CENTRAL-SOUTH,BUKIT MERAH,SGP000697,KL NG MEDICAL CLINIC PTE LTD,BLK 1 JALAN BUKIT MERAH #01-4530,150001,62712554,62712558,"8.30AM-4.00PM,
6.30PM-8.30PM (CLOSED ON FRI NIGHT)",8.30AM-12.30PM,9.00AM-12.30PM,CLOSED,
CENTRAL-SOUTH,BUKIT MERAH,SGP000079,"DRS KOO, KOH & ASSOCIATES PTE LTD",BLK 163 BUKIT MERAH CENTRAL #01-3609,150163,62712395,62712396,"8.30AM-1.30PM,
2.30PM-4.30PM,
7.00PM-9.00PM (CLOSED ON TUE/THU/FRI NIGHTS)",9.00AM-12.00PM,CLOSED,CLOSED,
NORTH-WEST,BUKIT PANJANG,SGP000407,HEALTHMED FAMILY CLINIC (BUKIT PANJANG),BLK 416 SAUJANA ROAD #01-50,670416,67604321,67604342,"8.30AM-12.30PM,
6.30PM-8.30PM",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,
NORTH-WEST,BUKIT PANJANG,SGP000742,ONECARE CLINIC BUKIT PANJANG PTE LTD,BLK 547 SEGAR ROAD #01-05,670547,62508533,62509533,"8.00AM-3.00PM,
6.00PM-9.00PM",8.00AM-12.00PM,"8.00AM-12.00PM,
6.00PM-9.00PM",8.00AM-12.00PM,
NORTH-WEST,BUKIT PANJANG,SGP000757,SUNBEAM MEDICAL CLINIC,443C FAJAR ROAD #01-76,673443,66100968,67690089,"8.30AM-2.00PM,
6.00PM-10.00PM",8.30AM-1.00PM,"8.30AM-1.00PM,
6.00PM-10.00PM",8.30AM-1.00PM,
NORTH-WEST,BUKIT PANJANG,SGP000636,NUHEALTH MEDICAL CENTRE,1 JUNCTION 10 WOODLANDS ROAD #01-23,677899,62199298,62199298,"8.30AM-1.00PM,
2.00PM-4.30PM,
6.30PM-10.00PM","8.30AM-1.00PM,
2.00PM-4.30PM,
6.30PM-10.00PM","8.30AM-1.00PM,
2.00PM-4.30PM,
6.30PM-10.00PM","8.30AM-1.00PM,
2.00PM-4.30PM",
NORTH-WEST,BUKIT PANJANG,SGP000524,HEALTHSPRINGS MEDICAL CLINIC,BLK 524A GREENRIDGE SHOPPING CENTRE JELAPANG ROAD #02-02,671524,68926681,68920061,"MON-WED: 8.00AM-
4.00PM, THU-FRI:
8.00AM-3.00PM,
6.00PM-9.00PM (CLOSED ON FRI NIGHTS)",8.30AM-1.00PM,CLOSED,CLOSED,LAST REGISTRATION IS 30MINS BEFORE CLOSING TIME.
NORTH-WEST,BUKIT PANJANG,SGP000032,CASHEW MEDICAL & SURGERY,BLK 445 FAJAR SHOPPING CENTRE FAJAR ROAD #02-522,670445,67634255,67630802,"8.00AM-4.00PM,
6.30PM-9.00PM","8.00AM-12.30PM,
6.30PM-9.00PM",8.00AM-12.00PM,8.00AM-12.00PM,PATIENTS TO BE REGISTERED 30 MINS BEFORE CLOSING.
NORTH-WEST,BUKIT PANJANG,SGP000206,LIFELINE BUKIT PANJANG MEDICAL CLINIC,BLK 103 GANGSA ROAD #01-37,670103,67605788,67630717,"8.30AM-12.00PM,
2.00PM-4.00PM,
6.30PM-9.00PM (CLOSED ON TUE & FRI NIGHT)",8.30AM-12.00PM,CLOSED,CLOSED,
CENTRAL,BUKIT TIMAH,SGP000347,THE CORONATION CLINIC,"587 CORONATION SHOPPING PLAZA BUKIT TIMAH ROAD
#02-01",269707,64686768,64686768,"9.00AM-12.30PM,
2.00PM-5.00PM",9.00AM-12.30PM,9.30AM-12.00PM,CLOSED,
CENTRAL,BUKIT TIMAH,SGP000445,BUKIT TIMAH CLINIC,621A BUKIT TIMAH ROAD,269731,64665458,64664819,"8.30AM-12.30PM
2.00PM-5.00PM
7.00PM-8.30PM (CLOSED ON FRI EVENING)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
CENTRAL,BUKIT TIMAH,SGP000614,RIDGEWOOD MEDICAL CLINIC,5 RIDGEWOOD CONDOMINIUM RIDGEWOOD CLOSE UNIT G4,276696,64691666,64683575,"9.00AM-12.30PM,
2.30PM-5.30PM (CLOSED ON WED & FRI AFTERNOON)",9.00AM-12.30PM,CLOSED,CLOSED,
CENTRAL,BUKIT TIMAH,SGP000760,MEDILINE WEI MIN CLINIC (BUKIT TIMAH),833 ROYALVILLE BUKIT TIMAH ROAD #01-05,279887,66358883,66358884,8.00AM-10.00PM,8.00AM-10.00PM,8.00AM-10.00PM,8.00AM-10.00PM,
CENTRAL,BUKIT TIMAH,SGP000054,CHUNGKIAW CLINIC,118 GOH & GOH BUILDING UPPER BUKIT TIMAH ROAD,588173,64662255,64676480,"MON/WED/FRI: 9.00AM-12.00PM,
2.00PM-5.00PM  TUE:
9.00AM-12.00PM,
2.00PM-4.00PM  THU:
9.00AM-12.00PM (CLOSED ON THURS AFTERNOON)",CLOSED,9.00AM-12.00PM,CLOSED,
CENTRAL,BUKIT TIMAH,SGP000496,NAM SENG CLINIC PTE LTD,"144 BEAUTY WORLD CENTRE UPPER BUKIT TIMAH ROAD
#01-22",588177,64682824,64672343,"9.00AM-2.00PM,
4.00PM-6.00PM,
8.00PM-10.30PM","9.00AM-3.00PM,
4.00PM-6.00PM,
8.00PM-10.30PM","9.00AM-3.00PM,
4.00PM-6.00PM,
8.00PM-10.30PM",9.00AM-4.30PM,
CENTRAL,BUKIT TIMAH,SGP000618,HEALTHCARE MEDICAL @ RAILMALL,446 RAIL MALL UPPER BUKIT TIMAH ROAD,678067,67655733,67655377,"8.30AM-12.30PM,
2.00PM-4.30PM (CLOSED ON FRI AFTERNOON), 6.30PM- 9.00PM",9.30AM-12.30PM,9.30AM-12.30PM,CLOSED,
CENTRAL,BUKIT TIMAH,SGP000040,CHANG CLINIC,1 BUKIT TIMAH PLAZA JALAN ANAK BUKIT #B1-08,588996,64663811,64670780,"8.30AM-12.30PM,
2.00PM-6.00PM",8.30AM-12.30PM,"8.30AM-12.00PM (CLOSED EVERY 1ST
& 3RD SUNDAY OF THE MONTH)",CLOSED,CLOSED EVERY 1ST & 3RD SUNDAY OF THE MONTH WEF 1 JUNE 2016.
CENTRAL,BUKIT TIMAH,SGP000223,MANDARIN MEDICAL CENTRE,66 JK BUILDING JALAN JURONG KECHIL,598586,64667822,64664353,"8.30AM-12.00PM,
2.00PM-4.30PM (CLOSED ON WED AFTERNOON)",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,"TEMPORARY
CLOSURE FROM 24- AUG-2016 TO 30-AUG 2016."
CENTRAL,BUKIT TIMAH,SGP000481,BUKIT TIMAH NAM SANG CLINIC,80 JALAN JURONG KECHIL,598591,64690760,64663960,"9.00AM-12.30PM,
2.00PM-5.00PM,
7.00PM-9.00PM (CLOSED ON WED & FRI NIGHT)",9.00AM-12.30PM,CLOSED,CLOSED,
SOUTH-WEST,BUONA VISTA,SGP000677,THE CLINIC @ FUSIONOPOLIS,1 GALAXIS FUSIONOPOLISPLACE #01-05,138522,64660602,64660603,"8.30AM-1.00PM,
2.00PM-5.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
SOUTH-WEST,BUONA VISTA,SGP000730,FUSION MEDICAL & HEALTH SCREENING CENTRE,1 NEXUS @ONE-NORTH FUSIONOPOLIS LINK #01-05,138542,62506548,62506548,8.00AM-4.30PM,CLOSED,CLOSED,CLOSED,
SOUTH-WEST,BUONA VISTA,SGP000761,NORTHEAST (BUONA VISTA) MEDICAL CENTRE PTE LTD,BLK 25 GHIM MOH LINK #01-10,270025,66943282,66943283,"8.30AM-12.00PM,
1.00PM-5.00PM,
6.00PM-10.00PM",8.00AM-1.00PM,8.00AM-1.00PM,CLOSED,
EAST,CHAI CHEE,SGP000137,HEALTHLINE FAMILY CLINIC & SURGERY PTE LTD,BLK 25A CHAI CHEE ROAD #01-467,461025,64463260,64463259,"8.30AM-3.00PM,
6.00PM-11.00PM",8.30AM-3.00PM,8.30AM-3.00PM,8.30AM-3.00PM,
EAST,CHAI CHEE,SGP000215,LIM CLINIC & SURGERY,BLK 20 CHAI CHEE ROAD #01-418/420,461020,62412211,62412268,"9.00AM-12.00PM
2.00PM-5.00PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,Closed on Christmas and Chinese New Year's Day
EAST,CHAI CHEE,SGP000036,CHAI CHEE CLINIC & SURGERY,BLK 25A CHAI CHEE ROAD #01-453,461025,62441231,62441215,9.00AM- 4.00PM,9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,"PATIENTS TO
REGISTER 30 MINS BEFORE CLOSING."
EAST,CHAI CHEE,SGP000483,EVANGEL MEDICAL CLINIC,BLK 10 CHAI CHEE ROAD #01-01,467010,64490555,62423037,"9.00AM-12.30PM,
2.30PM-5.00PM",CLOSED,CLOSED,CLOSED,
EAST,CHANGI,SGP000674,LIM CLINIC,295 CHANGI ROAD,419773,67426335,67427574,"MON/TUE/THU/FRI: 9.00AM-1.00PM,
2.00PM-5.00PM  WED:
9.00AM-1.00PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,
EAST,CHANGI,SGP000682,SHENTON MEDICAL GROUP (UE BIZHUB EAST),"2 UE BIZHUB PARK EAST CHANGI BUSINESS PARK AVENUE
1 #01-03",486015,66362490,65436410,"8.30AM-1.00PM,
2.00PM-5.30PM",CLOSED,CLOSED,CLOSED,
CITY,CHINATOWN,SGP000687,VIENNA MEDICAL CLINIC,277A SOUTH BRIDGE ROAD,058826,65368800,,9.00AM-6.00PM,9.00AM-1.00PM,CLOSED,CLOSED,
NORTH-WEST,CHOA CHU KANG,SGP000424,LIN & SONS CLINIC & SURGERY PTE LTD,BLK 18 TECK WHYE LANE #01-97,680018,67690554,67696459,"8.30AM-1.00PM,
2.00PM-5.00PM,
6.30PM-9.30PM","8.30AM-1.00PM,
2.00PM-5.00PM",9.00AM-1.00PM,9.00AM-1.00PM,
NORTH-WEST,CHOA CHU KANG,SGP000613,RIVER OF LIFE FAMILY CLINIC,BLK 26 TECK WHYE LANE #01-190,680026,67600501,67600870,"MON-WED/FRI: 9.00AM-12.00PM,
3.00PM-6.00PM  WED:
7.00PM-9.30PM  THU: CLOSED",9.00AM-12.00PM,7.00PM-9.30PM,CLOSED,
NORTH-WEST,CHOA CHU KANG,SGP000456,HARMONY FAMILY CLINIC,BLK 235 CHOA CHU KANG CENTRAL #B1-25,680235,67623979,67621293,"9.00AM-12.00PM,
2.00PM-4.00PM",9.00AM-12.00PM,CLOSED,CLOSED,
NORTH-WEST,CHOA CHU KANG,SGP000176,JO-LIN FAMILY CLINIC & SURGERY,BLK 533 LIMBANG SHOPPING CENTRE CHOA CHU KANG STREET 51 #01-29,680533,67606014,67606014,"8.30AM-12.30PM
2.00PM-4.00PM
6.30PM-9.30PM (CLOSED ON WED AFTERNOON & FRI EVENING)",8.30AM-12.30PM,6.30PM-9.30PM,CLOSED,
NORTH-WEST,CHOA CHU KANG,SGP000631,ONELIFE FAMILY CLINIC,BLK 534 CHOA CHU KANG STREET 51 #01-41,680534,67600782,67602814,"8.30AM-12.30PM
2.00PM-4.30PM
7.00PM-9.00PM (CLOSED ON TUE/FRI EVENING)",8.30AM-12.30PM,CLOSED,CLOSED,
NORTH-WEST,CHOA CHU KANG,SGP000101,EVERCARE MEDICAL CLINIC (475) PTE LTD,"BLK 475 SUNSHINE PLACE CHOA CHU KANG AVENUE 3
#02-02",680475,67666465,67690767,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,- LAST REGISTRATION 15 MINS BEFORE CLOSING OR EARLIER IF MAXIMUM NUMBER OF PATIENTS REACHED FOR THAT SESSION.
NORTH-WEST,CHOA CHU KANG,SGP000507,THE PREMIER MEDICAL CLINIC,BLK 304 CHOA CHU KANG AVENUE 4 #01-651,680304,67600643,67631712,"8.30AM-11.30AM,
2.00PM-4.30PM,
6.30PM-8.30PM",8.30AM-11.30AM,9.00AM-11.30AM,9.00AM-11.00AM,"- NO NIGHT CLINIC
ON 19 MAY 2016.
- CLINIC CLOSED ON 21 MAY 2016."
NORTH-WEST,CHOA CHU KANG,SGP000100,EVERCARE MEDICAL CLINIC,BLK 253 KEAT HONG SHOPPING CENTRE CHOA CHU KANG AVENUE 1 #01-14A,680253,67699655,67664935,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,"CLINIC LAST
REGISTRATION IS 15 MINS BEFORE CLOSING TIME OR EARLIER THAN AS STATED IF WE HAVE REACHED THE MAXIMUM NUMBER OF PATIENTS THAT CAN BE ACCEPTED
FOR THAT SESSION."
NORTH-WEST,CHOA CHU KANG,SGP000462,TEMASEK MEDICAL CENTRE,BLK 624 YEW TEE SHOPPING CENTRE CHOA CHU KANG STREET 62 #01-226,680624,67665766,67665800,"8.30AM-12.30PM
2.00PM-4.30PM
6.30PM-9.00PM",8.30AM-12.30PM,9.00AM-1.00PM,9.00AM-12.00PM,"LAST REGISTRATION
15 MINS BEFORE CLOSING TIME."
NORTH-WEST,CHOA CHU KANG,SGP000679,HEALTHWERKZ MEDICAL CENTRE (CCK) PTE LTD,BLK 225 CHOA CHU KANG CENTRAL #01-199,680225,67662827,67660568,"8.30AM-2.00PM,
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,"LAST REGISTRATION
IS 30 MINS OR EARLIER BEFORE CLOSING TIME DEPENDING ON THE
QUEUE."
CITY,CITY HALL,SGP000722,CRAWFURD MEDICAL,"3 SUNTEC CITY MALL (NORTH WING BETWEEN TOWER 1
& 2) TEMASEK BOULEVARD #02-482",038983,68049580,63419757,"8.30AM-12.30PM,
2.00PM-6.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
CITY,CITY HALL,SGP000361,THE MEDICAL PRACTICE PTE LTD,1 ONE RAFFLES LINK RAFFLES LINK #01-03A,039393,63329086,62386053,"8.30AM-12.15PM
1.30PM-5.15PM",8.30AM-12.15PM,CLOSED,CLOSED,
CITY,CITY HALL,SGP000609,THE CLINIC @ CAMPUS PTE LTD,70 STAMFORD ROAD #B1-21,178901,63339300,63339301,"8.30AM-1.00PM,
2.00PM-5.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
CITY,CITY HALL,SGP000309,SHALOM MEDICAL DENTAL GROUP,BLK 231 BRAS BASAH COMPLEX BAIN STREET #03-57,180231,63371884,63376976,"9.00AM-12.30PM,
2.00PM-5.00PM",9.00AM-1.00PM,CLOSED,CLOSED,
CITY,CITY HALL,SGP000681,SHENTON MEDICAL GROUP (ESPLANADE),90 ESPLANADE MRT STATION BRAS BASAH ROAD B1-02,189562,68870151,63376874,"8.30AM-1.00PM,
2.00PM-5.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
CITY,CITY HALL,SGP000179,K N CHIN & ASSOCIATES PTE LTD,3 SUNTEC CITY MALL TEMASEK BOULEVARD #02-400,038983,63372522,63346656,8.30AM-5.30PM,8.30AM-12.30PM,CLOSED,CLOSED,"LAST REGISTRATION
ENDS 30MINS BEFORE CLOSING
TIME."
CITY,CITY HALL,SGP000018,BETHESDA MEDICAL CENTRE PTE LTD,3 SUNTEC CITY MALL TEMASEK BOULEVARD #B1-124,038983,63378933,68843633,"8.30AM-1.00PM,
2.00PM-5.30PM",9.00AM-11.30PM,CLOSED,CLOSED,PATIENTS TO BE REGISTERED 30 MINS BEFORE CLOSING.
CENTRAL-WEST,CLEMENTI,SGP000200,LEE CLINIC PTE LTD,BLK 325 CLEMENTI AVENUE 5 #01-139,120325,67784608,67758956,"9.00AM-12.30PM
2.00PM-4.30PM
6.30PM-8.00PM",9.00AM-12.30PM,CLOSED,CLOSED,
CENTRAL-WEST,CLEMENTI,SGP000357,THE JURONG DISPENSARY,BLK 443 CLEMENTI AVENUE 3 #01-77,120443,67774494,67771075,"9.00AM-12.30PM,
3.00PM-5.00PM",9.00AM-12.30PM,CLOSED,CLOSED,
CENTRAL-WEST,CLEMENTI,SGP000693,LC CLINIC MEDICAL SURGERY AESTHETICS,BLK 446 CLEMENTI AVENUE 3 #01-191,120446,64640932,64571129,8.30AM-10.00PM,8.30AM-10.00PM,11.00AM-10.00PM,8.30AM-10.00PM,
CENTRAL-WEST,CLEMENTI,SGP000385,WEST COAST CLINIC & SURGERY,BLK 722 CLEMENTI WEST STREET 2 #01-162,120722,67770183,67770183,"8.30AM-12.15PM
2.00PM-4.15PM
6.30PM-8.15PM",8.30AM-12.15PM,9.00AM-12.15PM,CLOSED,
CENTRAL-WEST,CLEMENTI,SGP000440,CLEMENTI FAMILY HEALTHPOINT,BLK 308 CLEMENTI AVENUE 4 #01-351,120308,67744373,67744373,"8.30AM-12.30PM,
2.30PM-4.30PM,
6.30PM-9.30PM (CLOSED ON WED & FRI EVENING)","8.30AM-11.00AM,
7.00PM-9.30PM","8.30AM-11.00AM,
7.00PM-9.30PM",CLOSED,CLOSED ON CHRISTMAS AND 1ST DAY OF CHINESE NEW YEAR'S DAY.
SOUTH-WEST,COMMONWEALTH,SGP000472,MEDICAL CENTRE @ COMMONWEALTH,BLK 88 TANGLIN HALT ROAD #01-03,141088,64756116,64766116,"8.30AM-12.30PM,
1.30PM-5.00PM,
6.30PM-9.00PM (CLOSED ON FRI NIGHTS)",9.00AM-2.00PM,CLOSED,CLOSED,
SOUTH-WEST,DOVER,SGP000066,DOVER CLINIC AND SURGERY PTE LTD,BLK 28 DOVER CRESCENT #01-89,130028,67757410,67762851,"8.30AM-12.30PM,
2.00PM-5.00PM,
7.00PM-9.00PM (CLOSED ON TUE & FRI NIGHTS)",8.30AM-2.00PM,CLOSED,CLOSED,
SOUTH-WEST,DOVER,SGP000523,TRINITY MEDICAL CLINIC,BLK 19A DOVER VILLE DOVER CRESCENT #01-01,131019,67788868,67788868,"9.00AM-12.00PM,
2.00PM-4.00PM",9.00AM-12.00PM,9.00AM-11.30AM,CLOSED,
SOUTH-WEST,DOVER,SGP000067,DOVER MEDICAL CENTRE,BLK 69 AYER RAJAH AMENITY CENTRE AYER RAJAH CRESCENT #01-03,139961,67756266,67756966,8.30AM-5.30PM,CLOSED,CLOSED,CLOSED,
SOUTH-WEST,DOVER,SGP000622,THE CHELSEA CLINIC (ROCHESTER),35 ROCHESTER DRIVE #03-21,138639,65703913,65705438,"9.00AM-12.30PM,
2.00PM-6.00PM (CLOSED ON WED AFTERNOONS)",9.00AM-12.30PM,CLOSED,CLOSED,"MEMBERS ARE
ADVISE TO MAKE AN APPOINTMENT BEFORE VISITING CLINIC."
EAST,EAST COAST,SGP000093,EAST COAST FAMILY CLINIC PTE LTD,121 THE MAKENA MEYER ROAD #01-05,437932,64404556,63483858,"MON/TUE/THU/FRI:
8.30AM-3.00PM,
6.30PM-8.30PM (CLOSED ON FRI NIGHTS) WED: 8.30AM- 12.30PM, 6.30PM-
8.30PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,
EAST,EAST COAST,SGP000202,LIANG CLINIC,695D EAST COAST ROAD,459059,62415944,64450141,"8.30AM-12.00PM,
2.00PM-5.00PM (CLOSED ON WED AFTERNOON)",8.30AM-12.00PM,CLOSED,CLOSED,
EAST,EAST COAST,SGP000120,FRANKEL CLINIC,697 EAST COAST ROAD #01-01,459060,64455457,64455457,"9.15AM-12.15PM
2.30PM-4.15PM
7.00PM-8.30PM",9.15AM-12.15PM,9.15AM-12.15PM,9.15AM-12.15PM,
EAST,EAST COAST,SGP000597,CLINIC @ COSTA,84 COSTA DEL SOL BAYSHORE ROAD #01-36,469994,62433638,62433611,"8.30AM-2.30PM,
6.30PM-9.00PM (CLOSED ON WED EVENING)",8.30AM-1.00PM,CLOSED,PH(SELECTED): 9.00AM-12.00PM,
EAST,EAST COAST,SGP000029,C & K FAMILY CLINIC PTE LTD,108 UPPER EAST COAST ROAD,455297,62429588,62429277,"9.00AM-12.00PM,
6.00PM-9.00PM",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,"CLOSED ON
CHRISTMAS AND CHINESE NEW YEAR'S DAY.
LAST REGISTRATION
IS 30MINS BEFORE CLOSING TIME."
CENTRAL-EAST,EUNOS,SGP000754,HEALTHWAY MEDICAL CLINIC (JALAN DAMAI),BLK 661 JALAN DAMAI #01-129,410661,67427994,67443904,"8.30AM-1.00PM,
2.00PM-5.00PM,
6.30PM-9.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
CENTRAL-WEST,FARRER ROAD,SGP000390,YAP MEDICARE CLINIC PTE LTD,BLK 8 EMPRESS ROAD #01-03,260008,64712338,64763371,"8.30AM-12.00PM,
2.00PM-4.00PM,
7.00PM-8.45PM",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,"CLOSED ON CHINESE
NEW YEAR'S DAY, CHRISTMAS, NEW YEAR'S DAY'S DAY & NATIONAL DAY."
CENTRAL-EAST,GEYLANG,SGP000721,TJ MEDICAL CLINIC & SURGERY,48 SIMS PLACE #01-167,380048,67424413,67483813,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON FRI NIGHT)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
CENTRAL-EAST,GEYLANG,SGP000311,SIMS DRIVE MEDICAL CLINIC,BLK 53 SIMS PLACE #01-174,380053,67411607,67411607,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM","8.30AM-12.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,
CENTRAL-EAST,GEYLANG,SGP000008,ANTEH DISPENSARY PTE LTD,368 GEYLANG ROAD,389381,67441809,68418948,"9.00AM-12.00PM
2.00PM-5.00PM",9.00AM-12.00PM,CLOSED,CLOSED,
SOUTH,HARBOURFRONT,SGP000075,CLIFFORD DISPENSARY PTE LTD,"3 HARBOURFRONT TOWER TWO HARBOURFRONT PLACE
#04-01",099254,63760788,63760775,"8.30AM-1.00PM
2.00PM-5.30PM",CLOSED,CLOSED,CLOSED,
SOUTH,HARBOURFRONT,SGP000604,MINT MEDICAL CENTRE,"1 HARBOURFRONT TOWER ONE HARBOURFRONT PLACE
#01-10",098633,62729372,62729218,"9.00AM-1.00PM,
2.00PM-5.00PM","10.00AM-11.30AM
(STRICTLY BY APPOINTMENT ONLY)",CLOSED,CLOSED,LAST REGISTRATION IS 15 MINS BEFORE CLOSING TIME.
CITY,HAVELOCK ROAD,SGP000770,DR GARY'S FAMILY CLINIC,BLK 77 INDUS ROAD #01-523,160077,68039375,,"8.30AM-1.30PM,
4.00PM-7.30AM (CLOSED AT 5.30PM ON FRIDAYS)",8.30-12.30PM,CLOSED,CLOSED,
CENTRAL,HOLLAND,SGP000227,MAY MEDICAL CLINIC & SURGERY,BLK 41 HOLLAND DRIVE #01-19,270041,67743318,67743329,8.00AM-12.30PM,8.00AM-12.30PM,CLOSED,CLOSED,
CENTRAL,HOLLAND,SGP000629,ONEDOCTORS FAMILY CLINIC (HOLLAND VILLAGE),253 HOLLAND AVENUE #02-01,278982,64698938,64671682,"9.00AM-3.00PM,
5.00PM-10.00PM (CLOSED ON FRI EVENING)",9.00AM-3.00PM,CLOSED,CLOSED,
CENTRAL,HOLLAND,SGP000343,THE ARCADIA CLINIC,2 ACACIA COURT PANDAN VALLEY #01-211,597626,64695122,64695762,"9.00AM-12.30PM,
2.00PM-4.30PM,
6.30PM-8.30PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
CENTRAL,HOLLAND,SGP000379,VISTA MEDICAL CENTRE PTE LTD,2 ACACIA COURT PANDAN VALLEY #01-211,597626,67780822,67780722,9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,CLOSED,
CENTRAL,HOLLAND,SGP000305,SEFTON MEDICAL CENTRE PTE LTD,BLK 41 HOLLAND DRIVE #01-25,270041,64764476,64768476,"8.30AM-12.30PM,
1.30PM-4.00PM,
7.00PM-9.00PM (CLOSED ON FRI AFTERNOON & NIGHT)",8.30AM-12.30PM,CLOSED,CLOSED,"- PATIENT TO ARRIVE
AT LEAST 15 MINS BEFORE CLOSING.
- TEMPORARY CLOSURE FROM 13- SEP-2016 TO 28-SEP-
2016."
NORTH-EAST,HOUGANG,SGP000219,LONDON (MH) CLINIC & SURGERY,BLK 104 HOUGANG AVENUE 1 #01-1123,530104,62807262,62807262,"8.30AM-12.00PM,
2.00PM-3.45PM,
6.00PM-8.30PM (CLOSED ON WED & FRI EVENINGS)",8.30AM-11.30AM,CLOSED,SELECTED,
NORTH-EAST,HOUGANG,SGP000578,GOH CLINIC & SURGERY,BLK 204 HOUGANG STREET 21 #01-101,530204,63863836,62840594,"9.00AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM (CLOSED ON FRI EVENINGS)",9.00AM-12.30PM,CLOSED,CLOSED,
NORTH-EAST,HOUGANG,SGP000303,SEAH CLINIC,BLK 311 HOUGANG AVENUE 5 #01-183,530311,62827254,62828769,"8.30AM-12.00PM,
2.30PM-5.00PM",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,
NORTH-EAST,HOUGANG,SGP000709,PROCROSS MEDICAL CENTRE (HOUGANG),BLK 449 HOUGANG AVENUE 10 #B1-509,530449,67022848,67022840,"12.30PM-4.30PM,
7.30PM-9.30PM",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,
