ZONE, AREA, CLINIC CODE, CLINIC, ADDRESS, POSTAL, TEL, FAX, OPERATING HOURS MON - FRI, SAT, SUN, PUBLIC HOLIDAY, REMARKS, LAT, LNG
"CENTRAL-NORTH","ANG MO KIO","SGP000138","HEALTHLINK (AMK) MEDICAL CENTRE PTE LTD","BLK 108 ANG MO KIO AVENUE 4 #01-86","560108","64571636","64563605","8.45AM-12.30PM,2.00PM-4.30PM,6.45PM-8.30PM(CLOSED ON TUES &THURS EVENINGS)","8.45AM-12.00PM","8.45AM-12.00PM","CLOSED","LAST REGISTRATIONIS 30 MINS BEFORECLOSING TIME.", 1.3710831, 103.8383129
"CENTRAL-NORTH","ANG MO KIO","SGP000673","KI MEDICAL CLINIC PTE LTD","BLK 416 ANG MO KIO AVENUE 10 #01-975","560416","64554475","64554475","8.00AM-12.30PM,2.30PM-4.30PM,6.00PM-9.00PM(CLOSED ON FRIDAYAFTERNOONS)","8.00AM-12.00PM,6.00PM-8.30PM","8.00AM-12.00PM,6.00PM-8.30PM","8.00AM-12.00PM(SELECTED PHONLY; CALL PRIORTO VISIT)","LAST REGISTRATIONIS 30 MINS BEFOREEND OF EACHSESSION.", 1.364474, 103.8550568
"EAST","BEDOK","SGP000635","ACCESS MEDICAL BEDOK SOUTH","59 NEW UPPER CHANGI ROAD #01-1268","461059","64453100","64453200","7.00AM-1.00PM,6.00PM-12.00AM","7.00AM-1.00PM,6.00PM-12.00AM","7.00AM-1.00PM,6.00PM-12.00AM","7.00AM-1.00PM,6.00PM-12.00AM","", 1.3240631, 103.9406744
"EAST","BEDOK","SGP000438","BEDOK CENTRAL CLINIC PTE LTD","BLK 214 BEDOK NORTH STREET 1 #01-161","460214","62424489","62418679","9.00AM-2.00PM,5.30PM-9.00PM","9.00AM-1.00PM","CLOSED","CLOSED","LAST REGISTRATION30 MINS BEFORECLOSING.", 1.3259295, 103.9324643
"EAST","BEDOK","SGP000182","KCS MEDICAL CENTRE PTE LTD","BLK 515 BEDOK NORTH AVENUE 2 #01-205","460515","64438322","64418322","8.30AM-2.00PM,7.00PM-9.00PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3318704, 103.9299899
"EAST","BEDOK","SGP000177","JOY FAMILY CLINIC","BLK 703 BEDOK RESERVOIR ROAD #01-3506","470703","64422483","64428613","MON, WED, FRI:9.00AM-1.00PM,2.00PM-4.00PM TUE& THURS: 9.00AM-1.00PM, 6.30PM-8.30PM","CLOSED","CLOSED","CLOSED","PATIENT TO ARRIVEAT LEAST 15MINSBEFORE CLOSING.", 1.337138, 103.919774
"EAST","BEDOK","SGP000173","ISLAND GROUP CLINIC BEDOK","BLK 25 NEW UPPER CHANGI ROAD #01-646","462025","62416666","62416102","9.00AM-12.00PM,2.00PM-4.30PM,7.00PM-8.30PM","9.00AM-11.00AM","9.00AM-11.00AM","CLOSED","", 1.323454, 103.9334499
"EAST","BEDOK","SGP000302","S T MEDICAL CLINIC","BLK 531 BEDOK NORTH STREET 3 #01-694","460531","64440159","64440159","8.30AM-1.00PM,2.00PM-4.00PM,7.00PM-9.00PM(CLOSED ON TUEAFTERNOONS, WED &FRI NIGHTS)","8.30AM-11.45AM","9.30AM-11.45AM","9.30AM-12.00PM","", 1.3333394, 103.9259493
"EAST","BEDOK","SGP000386","WONG FAMILY CLINIC & SURGERY","BLK 117 BEDOK RESERVOIR ROAD #01-68","470117","68461613","68486925","8.30AM-12.15PM,2.00PM-4.45PM,7.00PM-9.45PM(CLOSED ON FRIAFTERNOONS)","8.30AM-12.15PM","CLOSED","CLOSED","", 1.3313876, 103.908671
"EAST","BEDOK","SGP000339","TEMASEK MEDICAL CLINIC","BLK 86 BEDOK NORTH STREET 4 #01-177","460086","64430949","64430949","8.30AM-12.30PM,2.00PM-4.00PM,7.00PM-9.00PM","8.30AM-12.30PM","CLOSED","CLOSED","CLOSED ON FRIAFTERNOONS", 1.3329698, 103.9387321
"EAST","BEDOK","SGP000183","KHO CLINIC","BLK 537 BEDOK NORTH STREET 3 #01-519","460537","62428266","62432614","8.30AM-12.30PM,2.00PM-5.00PM,7.00PM-9.00PM(CLOSED ON THURAFTERNOONS &EVENINGS)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3321951, 103.9242099
"EAST","BEDOK","SGP000502","RESERVOIR ROAD CLINIC & SURGERY","BLK 704 BEDOK RESERVOIR ROAD #01-3622","470704","64490289","64490523","8.30AM-12.30PM2.00PM-4.30PM7.00PM-9.00PM","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","Closed on Fri nights", 1.3365288, 103.9194727
"EAST","BEDOK","SGP000285","PHOON CLINIC & SURGERY","BLK 632 BEDOK RESERVOIR ROAD #01-828","470632","64452119","64487329","9.00AM-12.00PM,2.00PM-4.00PM,7.00PM-8.30PM","9.00AM-12.00PM,2.00PM-4.00PM","9.00AM-11.30AM","9.00AM-11.30AM","", 1.332486, 103.9141335
"CITY","BENCOOLEN ROAD","SGP000675","DR TAN AND PARTNERS","180 BENCOOLEN STREET #02-20","189646","68844119","68844187","9.00AM-5.00PM","CLOSED","9.00AM-1.00PM","CLOSED","", 1.3017647, 103.8531752
"EAST","BEDOK","SGP000451","PAN ISLAND CLINIC & SURGERY","BLK 632 BEDOK RESERVOIR ROAD #01-804","470632","64453747","64491098","9.30AM-12.30PM,2.30PM-4.30PM,7.00PM-9.00PM","9.30AM-12.30PM","9.30AM-12.00PM","9.30AM-12.00PM","", 1.332486, 103.9141335
"EAST","BEDOK","SGP000454","CLINIC FARIDAH","BLK 59 NEW UPPER CHANGI ROAD #01-1230","461059","64427480","64427480","8.30AM-11.00AM,2.00PM-3.00PM","8.30AM-11.00AM","CLOSED","CLOSED","", 1.3240631, 103.9406744
"CENTRAL-NORTH","BISHAN","SGP000178","RADLINK MEDICARE (BISHAN) PTE LTD","BLK 503 BISHAN STREET 11 #01-464","570503","62557545","63582830","9.00AM-1.00PM,2.00PM-4.30PM,7.30PM-9.30PM(CLOSED ON FRIEVENING)","9.00AM-1.00PM","9.00AM-12.00PM","CLOSED","PATIENT TO ARRIVEAT LEAST 15MINSBEFORE CLOSING.", 1.3489921, 103.84804
"CENTRAL-EAST","BENDEMEER","SGP000280","PARIQUA CLINIC","BLK 47 BENDEMEER ROAD #01-1463","330047","62921351","62921351","8.30AM-12.00PM,2.00PM-4.30PM,7.00PM-9.00PM","8.30AM-12.00PM","CLOSED","CLOSED","", 1.32329, 103.8666779
"CENTRAL-EAST","BOON KENG","SGP000326","TAN-TEOH CLINIC & SURGERY","BLK 101 TOWNER ROAD #01-216","322101","62992292","62995662","8.30AM-12.30PM2.00PM-6.00PM7.00PM-9.00PM","8.30AM-12.30PM2.00PM-4.00PM","8.30AM-12.00PM","8.30AM-12.00PM","Patient to arrive atleast 15 mins beforeclosing", 1.3193832, 103.8610407
"CENTRAL-NORTH","BISHAN","SGP000009","ASPEN CLINIC","BLK 283 BISHAN STREET 22 #01-185","570283","64553829","64567217","9.00AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM(CLOSED TUE & FRINIGHT)","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3588966, 103.8446222
"CENTRAL-EAST","BOON KENG","SGP000608","THE FAMILY CLINIC @ TOWNER","BLK 101 TOWNER ROAD #01-202","322101","62950995","62950997","8.30AM-1.00PM,6.00PM-9.00PM","8.30AM-12.00PM","CLOSED","CLOSED","", 1.3193832, 103.8610407
"CENTRAL-NORTH","BISHAN","SGP000330","TAN'S T&T CLINIC AND SURGERY","BLK 152 BISHAN STREET 11 #01-213","570152","63531133","","MON & THURS:8.30AM-12.30PM,2.00PM-4.30PM, TUES:8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM, WED& FRI: 8.30AM-12.30PM","8.30AM-12.30PM","9.00AM-12.00PM","CLOSED","", 1.3456414, 103.8546947
"WEST","BOON LAY","SGP000699","PIONEER MEDICARE","3 PIONEER JUNCTION SOON LEE STREET #01-08","627606","63397422","63397427","8.00AM-1.00PM,2.00PM-6.00PM","8.00AM-1.00PM","CLOSED","CLOSED","", 1.3339671, 103.6972436
"WEST","BOON LAY","SGP000058","COMMUNITY MEDICAL CLINIC","BLK 221 BOON LAY SHOPPING CENTRE BOON LAY PLACE#02-160","640221","62610672","62610672","8.30AM-11.30AM,1.30PM-4.00PM,5.00PM-7.00PM","8.30AM-11.00AM","8.30AM-11.00AM","CLOSED","", 1.346399, 103.712429
"WEST","BOON LAY","SGP000664","BLESS MEDICAL CENTRE","BLK 221 BOON LAY SHOPPING CENTRE BOON LAY PLACE#01-108","640221","62664119","62667855","8.00AM-9.30PM","8.00AM-9.30PM","CLOSED","CLOSED","", 1.3463428, 103.7123916
"WEST","BOON LAY","SGP000475","FULLERTON HEALTHCARE GROUP @ NTU","36 NANYANG AVENUE #01-01","639801","67936828","67936338","8.30AM-9.00PM2.00PM-5.00PM","9.30AM-12.00PM","CLOSED","CLOSED","LAST REGISTRATIONHALF HOURS BEFORECLOSING TIME.", 1.3455665, 103.6826082
"CITY","BUGIS","SGP000129","HALE MEDICAL CLINIC (CONCOURSE) PTE LTD","300 THE CONCOURSE BEACH ROAD #02-01B","199555","62944877","62995505","9.00AM-12.45PM,2.00PM-5.30PM","CLOSED","CLOSED","CLOSED","", 1.3010685, 103.8626788
"NORTH-WEST","BUKIT BATOK","SGP000317","STARCARE CLINIC & SURGERY PTE LTD","BLK 207 BUKIT BATOK STREET 21 #01-108","650207","65616878","65617698","8.30AM-12.00PM,2.00PM-4.00PM,7.30PM-10.00PM(CLOSED ON WEDAFTERNOONS ANDNIGHTS)","8.30AM-12.00PM","CLOSED","CLOSED","", 1.3462455, 103.7493426
"NORTH-WEST","BUKIT BATOK","SGP000441","UNIVERSAL MEDICAL CLINIC","BLK 164 BUKIT BATOK STREET 11 #01-144","650164","65639955","65639956","8.30AM-2.00PM,6.30PM-8.30PM(CLOSED ON TUE,THURS & FRI NIGHTS)","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3476986, 103.7426309
"NORTH-WEST","BUKIT BATOK","SGP000455","GOH CLINIC & SURGERY","BLK 283 BUKIT BATOK EAST AVENUE 3 #01-271","650283","65676368","65672535","8.30AM-12.30PM,2.00PM-4.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3471748, 103.757403
"NORTH-WEST","BUKIT BATOK","SGP000186","KHOR CLINIC & SURGERY","BLK 424 BUKIT BATOK WEST AVENUE 2 #01-237","650424","65631285","65617221","8.30AM-12.00PM,1.00PM-3.00PM,7.00PM-8.30PM","8.30AM-12.00PM","CLOSED","9.00AM-12.00PM","", 1.361923, 103.74553
"WEST","BOON LAY","SGP000512","POINT MEDICAL GROUP (TAMAN JURONG)","BLK 399 YUNG SHENG ROAD #01-31","610399","62656587","62680424","8.30AM-12.30PM,2.30PM-5.30PM,6.30PM-8.30PM","8.30AM-1.00PM","CLOSED","CLOSED","", 1.334824, 103.7204456
"NORTH-WEST","BUKIT BATOK","SGP000498","ONG CLINIC & SURGERY PTE LTD","BLK 265 BUKIT BATOK EAST AVENUE 4 #01-387","650265","67695704","65623514","9.00AM-12.00PM2.00PM-5.00PM","9.00AM-12.00PM","9.00AM-12.00PM","CLOSED","", 1.3500114, 103.7596176
"NORTH-WEST","BUKIT BATOK","SGP000541","FRONTIER MEDICAL ASSOCIATES","BLK 528 BUKIT BATOK STREET 51 #01-64","650528","65665773","65665747","8.30AM-12.00PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3566967, 103.7512281
"CITY","BUGIS","SGP000184","KHOO FAMILY CLINIC & SURGERY","BLK 2 BEACH ROAD #01-4781","190002","62955955","62955955","8.30AM-12.30PM2.00PM-4.00PM6.30PM-9.00PM","8.30AM-12.30PM","9.00AM-12.00PM","CLOSED","", 1.30386, 103.864834
"WEST","BOON LAY","SGP000694","MY DOCTOR @ LAKESIDE","BLK 201 LAKESIDE MRT STATION BOON LAY WAY #01-05","649845","62657270","62652170","8.30AM-12.30PM,1.30PM-5.00PM,6.00PM-8.30PM(CLOSED ON FRINIGHT)","8.30AM-12.30PM,1.30PM-5.00PM","CLOSED","CLOSED","", 1.3440758, 103.7205267
"NORTH-WEST","BUKIT BATOK","SGP000026","BUKIT BATOK MEDICAL CLINIC","BLK 207 BUKIT BATOK STREET 21 #01-114","650207","65603311","65692400","9.00AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM(CLOSED ON WEDNIGHTS)","9.00AM-12.30PM","9.00AM-12.00PM","CLOSED","", 1.3462455, 103.7493426
"CITY","BUGIS","SGP000055","CITYHEALTH CLINIC & SURGERY","152 GATEWAY EAST BEACH ROAD #03-08","189721","62995398","62990206","8.30AM-12.30PM,2.00PM-5.00PM","CLOSED","CLOSED","CLOSED","- TEMPORARYCLOSURE FORRENOVATION FROM9-28 AUGUST 2016.", 1.2989982, 103.8591798
"WEST","BOON LAY","SGP000023","BOON LAY CLINIC & SURGERY","BLK 221 BOON LAY SHOPPING CENTRE BOON LAY PLACE#01-240/244","640221","62655247","62680866","9.00AM-12.30PM,2.00PM-5.00PM,7.00PM-9.00PM","9.00AM-12.30PM","9.00AM-12.30PM","9.00AM-12.30PM","", 1.346517, 103.712422
"NORTH-EAST","BUANGKOK","SGP000708","SHENTON MEDICAL GROUP (BUANGKOK)","10 BUANGKOK BUILDING NEL MRT STATION SENGKANGCENTRAL #01-04","545061","63153671","63158190","8.30AM-1.00PM,2.00PM-5.30PM,6.30PM-9.00PM(CLOSED ON FRINIGHT)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3828919, 103.8933869
"WEST","BOON LAY","SGP000712","ONECARE CLINIC BOON LAY","221 BOON LAY SHOPPING CENTRE BOON LAY PLACE #01-152","640221","62611580","62611584","8.00AM-4.00PM,5.00PM-10.00PM","8.00AM-4.00PM,5.00PM-10.00PM","8.00AM-4.00PM,5.00PM-10.00PM","8.00AM-4.00PM,5.00PM-10.00PM","LAST REGISTRATIONIS 20 MINS BEFORECLOSING.", 1.3462189, 103.7127554
"NORTH-EAST","BUANGKOK","SGP000771","HEALTHMARK FAMILY CLINIC (WATERWAY)","BLK 671 EDGEFIELD PLAINS #02-04","820671","63849632","63849645","8.30AM-2.00PM,7.00PM-9.30PM(CLOSED ONWEDNESDAY NIGHTS)","CLOSED","9.00AM-1.00PM","CLOSED","", 1.4056075, 103.9119973
"NORTH-WEST","BUKIT BATOK","SGP000489","KANG AN CLINIC PTE LTD","BLK 644 BUKIT BATOK CENTRAL #01-70","650644","65664856","65664856","8.30AM-12.45PM,2.00PM-4.45PM,7.00PM-9.00PM","8.30AM-12.30PM","9.00AM-12.30PM","CLOSED","LAST REGISTRATION15MINS BEFORECLOSING TIME.", 1.348711, 103.751665
"NORTH-WEST","BUKIT BATOK","SGP000735","ONECARE CLINIC BUKIT BATOK","BLK 630 BUKIT BATOK CENTRAL #01-148","650630","65636913","65636973","8.00AM-4.00PM,5.00PM-10.00PM","8.00AM-4.00PM,5.00PM-10.00PM","8.00AM-4.00PM,5.00PM-10.00PM","8.00AM-4.00PM,5.00PM-10.00PM","", 1.3501494, 103.7500042
"NORTH-WEST","BUKIT BATOK","SGP000696","PHOENIX MEDICAL GROUP","4 HILLV2 HILLVIEW RISE #02-20","667979","67107157","67107167","9.00AM-2.00PM, 6.00-9.00PM (CLOSED ONTUES & FRI EVENINGS)","9.00AM-12.00PM","2.00PM-9.00PM","CLOSED","LAST REGISTRATIONIS 15 MINS BEFORECLOSING.", 1.3634141, 103.7644691
"NORTH-WEST","BUKIT BATOK","SGP000131","HEALTH PARTNERS FAMILY CLINIC","1 WEST MALL BUKIT BATOK CENTRAL LINK #01-37","658713","68989031","68989035","8.30AM-12.30PM,1.30PM-3.30PM,6.30PM-9.00PM","8.30AM-12.30PM","9.30AM-1.30PM","CLOSED","REGISTRATION CLOSE30MINS BEFORECLOSING TIME.", 1.3503642, 103.7492783
"CENTRAL-SOUTH","BUKIT MERAH","SGP000121","FRIENDSHIP CLINIC & SURGERY","BLK 1 JALAN BUKIT MERAH #01-4524","150001","62726628","64760848","MON-THU: 8.30AM-1.00PM, 5.00PM-7.00PM FRI: 8.30AM-1.00PM, 2.00PM-4.00PM","8.30AM-1.00PM","CLOSED","CLOSED","", 1.2865895, 103.8082363
"NORTH-WEST","BUKIT BATOK","SGP000211","LIFELINE NEIGHBOURHOOD MEDICAL CLINIC PTE LTD","BLK 280 BUKIT BATOK EAST AVENUE 3 #01-333","650280","65678316","65678316","9.00AM-12.30PM,2.00PM-4.00PM,6.30PM-8.30PM(CLOSED ON FRIAFTERNOON)","9.00AM-12.00PM","9.00AM-12.00PM","9.00AM-12.00PM","PLEASE CALL TOCONFIRM IF THECLINIC IS OPENED ONPUBLIC HOLIDAYS.", 1.3476706, 103.7572022
"NORTH-WEST","BUKIT BATOK","SGP000654","HISEMAINN MEDICAL CLINIC (BUKIT BATOK)","289E BUKIT BATOK STREET 25 #01-160","654289","65691375","65667565","8.30AM-3.00PM,6.30PM-9.30PM","8.30AM-1.00PM","CLOSED","CLOSED","LAST REGISTRATIONIS 10 MINS BEFORECLOSING TIME.", 1.3445428, 103.7599466
"NORTH-WEST","BUKIT BATOK","SGP000196","LAI MEDICAL CLINIC PTE LTD","BLK 213 BUKIT BATOK STREET 21 #01-209","650213","65632935","65638276","8.30AM-12.30PM,2.00PM-4.00PM,6.30PM-8.30PM(CLOSED ON WEDAFTERNOON & NIGHTAND FRI AFTERNOON)","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3468473, 103.7525292
"NORTH-WEST","BUKIT BATOK","SGP000336","TEMASEK MEDICAL CENTRE","BLK 413 BUKIT BATOK WEST AVENUE 4 #01-214","650413","65656556","65665483","8.30AM-1.00PM2.00PM-5.00PM","8.30AM-12.30PM","CLOSED","CLOSED","LAST REGISTRATION15 MINS BEFORECLOSING TIME.", 1.3637175, 103.7466364
"CENTRAL-SOUTH","BUKIT MERAH","SGP000257","NEW HEALTH FAMILY CLINIC PTE LTD","BLK 108 DEPOT HEIGHTS SHOPPING CENTRE DEPOT ROAD#01-08","100108","62786200","62767140","MON-FRI: 8.00AM-1.00PM MON & WED:6.00PM-7.30PM TUE& THU: 5.30PM-7.30PM","8.00AM-11.30AM","CLOSED","CLOSED","", 1.2813263, 103.8104046
"CENTRAL-SOUTH","BUKIT MERAH","SGP000201","LEONG CLINIC","BLK 63B LENGKOK BAHRU #01-366","152063","64760572","64766693","9.00AM-1.00PM,2.00PM-5.00PM(CLOSED ON FRIAFTERNOONS)","9.00AM-1.00PM","CLOSED","CLOSED","PATIENT TO ARRIVEAT LEAST 15 MINSBEFORE CLOSING.", 1.2891589, 103.8154197
"CENTRAL-SOUTH","BUKIT MERAH","SGP000697","KL NG MEDICAL CLINIC PTE LTD","BLK 1 JALAN BUKIT MERAH #01-4530","150001","62712554","62712558","8.30AM-4.00PM,6.30PM-8.30PM(CLOSED ON FRINIGHT)","8.30AM-12.30PM","9.00AM-12.30PM","CLOSED","", 1.2865895, 103.8082363
"NORTH-WEST","BUKIT PANJANG","SGP000742","ONECARE CLINIC BUKIT PANJANG PTE LTD","BLK 547 SEGAR ROAD #01-05","670547","62508533","62509533","8.00AM-3.00PM,6.00PM-9.00PM","8.00AM-12.00PM","8.00AM-12.00PM,6.00PM-9.00PM","8.00AM-12.00PM","", 1.3883467, 103.769478
"CENTRAL-SOUTH","BUKIT MERAH","SGP000027","BUKIT MERAH CENTRAL MEDICAL CENTRE","BLK 165 BUKIT MERAH CENTRAL #03-3683","150165","62735455","62748846","8.30AM-1.00PM,2.00PM-5.00PM","CLOSED","CLOSED","CLOSED","", 1.2831384, 103.8167485
"CENTRAL-SOUTH","BUKIT MERAH","SGP000764","PROVIDENCE CLINIC @ REDHILL","BLK 86 REDHILL CLOSE #01-596","150086","64710301","64710301","9.00AM-4.00PM, 7.00-9.00PM (CLOSED ONWEDNESDAY & FRIDAYEVENINGS)","9.00AM-1.00PM","5.00PM-8.00PM","CLOSED","", 1.2869411, 103.8186735
"CENTRAL-SOUTH","BUKIT MERAH","SGP000553","DRS CHUA & PARTNERS (AV) PTE LTD","BLK 125 BUKIT MERAH LANE 1 #01-174","150125","63773179","63773169","8.30AM-12.30PM,2.00PM-5.00PM (MONAFTERNOON CLINICOPENS UNTIL 8.00PM)","8.30AM-2.30PM","CLOSED","CLOSED","", 1.2858551, 103.8030028
"CENTRAL-SOUTH","BUKIT MERAH","SGP000308","SHALOM CLINIC & SURGERY","BLK 123 BUKIT MERAH LANE 1 #01-104","150123","62780270","62784215","9.00AM-12.30PM,2.00PM-5.30PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.286448, 103.8040177
"NORTH-WEST","BUKIT PANJANG","SGP000757","SUNBEAM MEDICAL CLINIC","443C FAJAR ROAD #01-76","673443","66100968","67690089","8.30AM-2.00PM,6.00PM-10.00PM","8.30AM-1.00PM","8.30AM-1.00PM,6.00PM-10.00PM","8.30AM-1.00PM","", 1.3836575, 103.7708707
"NORTH-WEST","BUKIT PANJANG","SGP000407","HEALTHMED FAMILY CLINIC (BUKIT PANJANG)","BLK 416 SAUJANA ROAD #01-50","670416","67604321","67604342","8.30AM-12.30PM,6.30PM-8.30PM","8.30AM-12.00PM","8.30AM-12.00PM","CLOSED","", 1.383225, 103.7683349
"CENTRAL-SOUTH","BUKIT MERAH","SGP000079","DRS KOO, KOH & ASSOCIATES PTE LTD","BLK 163 BUKIT MERAH CENTRAL #01-3609","150163","62712395","62712396","8.30AM-1.30PM,2.30PM-4.30PM,7.00PM-9.00PM(CLOSED ONTUE/THU/FRI NIGHTS)","9.00AM-12.00PM","CLOSED","CLOSED","", 1.2836661, 103.8169734
"NORTH-WEST","BUKIT PANJANG","SGP000206","LIFELINE BUKIT PANJANG MEDICAL CLINIC","BLK 103 GANGSA ROAD #01-37","670103","67605788","67630717","8.30AM-12.00PM,2.00PM-4.00PM,6.30PM-9.00PM(CLOSED ON TUE & FRINIGHT)","8.30AM-12.00PM","CLOSED","CLOSED","", 1.378629, 103.768434
"CENTRAL","BUKIT TIMAH","SGP000760","MEDILINE WEI MIN CLINIC (BUKIT TIMAH)","833 ROYALVILLE BUKIT TIMAH ROAD #01-05","279887","66358883","66358884","8.00AM-10.00PM","8.00AM-10.00PM","8.00AM-10.00PM","8.00AM-10.00PM","", 1.3317128, 103.793967
"CENTRAL","BUKIT TIMAH","SGP000347","THE CORONATION CLINIC","587 CORONATION SHOPPING PLAZA BUKIT TIMAH ROAD#02-01","269707","64686768","64686768","9.00AM-12.30PM,2.00PM-5.00PM","9.00AM-12.30PM","9.30AM-12.00PM","CLOSED","", 1.3238605, 103.8101534
"CENTRAL","BUKIT TIMAH","SGP000445","BUKIT TIMAH CLINIC","621A BUKIT TIMAH ROAD","269731","64665458","64664819","8.30AM-12.30PM2.00PM-5.00PM7.00PM-8.30PM(CLOSED ON FRIEVENING)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3245817, 103.8091968
"NORTH-WEST","BUKIT PANJANG","SGP000032","CASHEW MEDICAL & SURGERY","BLK 445 FAJAR SHOPPING CENTRE FAJAR ROAD #02-522","670445","67634255","67630802","8.00AM-4.00PM,6.30PM-9.00PM","8.00AM-12.30PM,6.30PM-9.00PM","8.00AM-12.00PM","8.00AM-12.00PM","PATIENTS TO BEREGISTERED 30 MINSBEFORE CLOSING.", 1.3836245, 103.7708574
"CENTRAL","BUKIT TIMAH","SGP000054","CHUNGKIAW CLINIC","118 GOH & GOH BUILDING UPPER BUKIT TIMAH ROAD","588173","64662255","64676480","MON/WED/FRI:9.00AM-12.00PM,2.00PM-5.00PM TUE:9.00AM-12.00PM,2.00PM-4.00PM THU:9.00AM-12.00PM(CLOSED ON THURSAFTERNOON)","CLOSED","9.00AM-12.00PM","CLOSED","", 1.3409582, 103.7763431
"NORTH-WEST","BUKIT PANJANG","SGP000636","NUHEALTH MEDICAL CENTRE","1 JUNCTION 10 WOODLANDS ROAD #01-23","677899","62199298","62199298","8.30AM-1.00PM,2.00PM-4.30PM,6.30PM-10.00PM","8.30AM-1.00PM,2.00PM-4.30PM,6.30PM-10.00PM","8.30AM-1.00PM,2.00PM-4.30PM,6.30PM-10.00PM","8.30AM-1.00PM,2.00PM-4.30PM","", 1.380423, 103.76009
"CENTRAL","BUKIT TIMAH","SGP000614","RIDGEWOOD MEDICAL CLINIC","5 RIDGEWOOD CONDOMINIUM RIDGEWOOD CLOSE UNITG4","276696","64691666","64683575","9.00AM-12.30PM,2.30PM-5.30PM(CLOSED ON WED & FRIAFTERNOON)","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3177956, 103.7792879
"CENTRAL","BUKIT TIMAH","SGP000496","NAM SENG CLINIC PTE LTD","144 BEAUTY WORLD CENTRE UPPER BUKIT TIMAH ROAD#01-22","588177","64682824","64672343","9.00AM-2.00PM,4.00PM-6.00PM,8.00PM-10.30PM","9.00AM-3.00PM,4.00PM-6.00PM,8.00PM-10.30PM","9.00AM-3.00PM,4.00PM-6.00PM,8.00PM-10.30PM","9.00AM-4.30PM","", 1.3425762, 103.7764652
"NORTH-WEST","BUKIT PANJANG","SGP000524","HEALTHSPRINGS MEDICAL CLINIC","BLK 524A GREENRIDGE SHOPPING CENTRE JELAPANGROAD #02-02","671524","68926681","68920061","MON-WED: 8.00AM-4.00PM, THU-FRI:8.00AM-3.00PM,6.00PM-9.00PM(CLOSED ON FRINIGHTS)","8.30AM-1.00PM","CLOSED","CLOSED","LAST REGISTRATIONIS 30MINS BEFORECLOSING TIME.", 1.3852314, 103.7664398
"EAST","CHAI CHEE","SGP000137","HEALTHLINE FAMILY CLINIC & SURGERY PTE LTD","BLK 25A CHAI CHEE ROAD #01-467","461025","64463260","64463259","8.30AM-3.00PM,6.00PM-11.00PM","8.30AM-3.00PM","8.30AM-3.00PM","8.30AM-3.00PM","", 1.323454, 103.9240023
"SOUTH-WEST","BUONA VISTA","SGP000761","NORTHEAST (BUONA VISTA) MEDICAL CENTRE PTE LTD","BLK 25 GHIM MOH LINK #01-10","270025","66943282","66943283","8.30AM-12.00PM,1.00PM-5.00PM,6.00PM-10.00PM","8.00AM-1.00PM","8.00AM-1.00PM","CLOSED","", 1.308201, 103.7863003
"EAST","CHAI CHEE","SGP000036","CHAI CHEE CLINIC & SURGERY","BLK 25A CHAI CHEE ROAD #01-453","461025","62441231","62441215","9.00AM- 4.00PM","9.00AM-12.00PM","9.00AM-12.00PM","CLOSED","PATIENTS TOREGISTER 30 MINSBEFORE CLOSING.", 1.323454, 103.9240023
"SOUTH-WEST","BUONA VISTA","SGP000677","THE CLINIC @ FUSIONOPOLIS","1 GALAXIS FUSIONOPOLISPLACE #01-05","138522","64660602","64660603","8.30AM-1.00PM,2.00PM-5.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.2997791, 103.7883292
"CENTRAL","BUKIT TIMAH","SGP000481","BUKIT TIMAH NAM SANG CLINIC","80 JALAN JURONG KECHIL","598591","64690760","64663960","9.00AM-12.30PM,2.00PM-5.00PM,7.00PM-9.00PM(CLOSED ON WED & FRINIGHT)","9.00AM-12.30PM","CLOSED","CLOSED","", 1.340362, 103.773134
"CENTRAL","BUKIT TIMAH","SGP000040","CHANG CLINIC","1 BUKIT TIMAH PLAZA JALAN ANAK BUKIT #B1-08","588996","64663811","64670780","8.30AM-12.30PM,2.00PM-6.00PM","8.30AM-12.30PM","8.30AM-12.00PM(CLOSED EVERY 1ST& 3RD SUNDAY OFTHE MONTH)","CLOSED","CLOSED EVERY 1ST &3RD SUNDAY OF THEMONTH WEF 1 JUNE2016.", 1.3386145, 103.7785709
